month,day,hour,weekday,ride_count,weekday_num
5,1,22,Thursday,1403,3
5,1,23,Thursday,781,3
5,2,0,Friday,357,4
5,2,1,Friday,199,4
5,2,2,Friday,139,4
5,2,3,Friday,183,4
5,2,4,Friday,215,4
5,2,5,Friday,359,4
5,2,6,Friday,806,4
5,2,7,Friday,990,4
5,2,8,Friday,912,4
5,2,9,Friday,657,4
5,2,10,Friday,727,4
5,2,11,Friday,756,4
5,2,12,Friday,790,4
5,2,13,Friday,918,4
5,2,14,Friday,1169,4
5,2,15,Friday,1469,4
5,2,16,Friday,1711,4
5,2,17,Friday,1877,4
5,2,18,Friday,2141,4
5,2,19,Friday,1633,4
5,2,20,Friday,1451,4
5,2,21,Friday,1617,4
5,2,22,Friday,1676,4
5,2,23,Friday,1483,4
5,3,0,Saturday,848,5
5,3,1,Saturday,529,5
5,3,2,Saturday,329,5
5,3,3,Saturday,238,5
5,3,4,Saturday,213,5
5,3,5,Saturday,198,5
5,3,6,Saturday,232,5
5,3,7,Saturday,307,5
5,3,8,Saturday,407,5
5,3,9,Saturday,506,5
5,3,10,Saturday,580,5
5,3,11,Saturday,672,5
5,3,12,Saturday,708,5
5,3,13,Saturday,826,5
5,3,14,Saturday,968,5
5,3,15,Saturday,1456,5
5,3,16,Saturday,1715,5
5,3,17,Saturday,1483,5
5,3,18,Saturday,2249,5
5,3,19,Saturday,1581,5
5,3,20,Saturday,1410,5
5,3,21,Saturday,1751,5
5,3,22,Saturday,1637,5
5,3,23,Saturday,1391,5
5,4,0,Sunday,1152,6
5,4,1,Sunday,641,6
5,4,2,Sunday,418,6
5,4,3,Sunday,315,6
5,4,4,Sunday,245,6
5,4,5,Sunday,178,6
5,4,6,Sunday,163,6
5,4,7,Sunday,209,6
5,4,8,Sunday,239,6
5,4,9,Sunday,330,6
5,4,10,Sunday,412,6
5,4,11,Sunday,537,6
5,4,12,Sunday,621,6
5,4,13,Sunday,730,6
5,4,14,Sunday,851,6
5,4,15,Sunday,1029,6
5,4,16,Sunday,1064,6
5,4,17,Sunday,961,6
5,4,18,Sunday,870,6
5,4,19,Sunday,702,6
5,4,20,Sunday,707,6
5,4,21,Sunday,705,6
5,4,22,Sunday,543,6
5,4,23,Sunday,296,6
5,5,0,Monday,139,0
5,5,1,Monday,72,0
5,5,2,Monday,52,0
5,5,3,Monday,175,0
5,5,4,Monday,264,0
5,5,5,Monday,477,0
5,5,6,Monday,832,0
5,5,7,Monday,1014,0
5,5,8,Monday,959,0
5,5,9,Monday,633,0
5,5,10,Monday,599,0
5,5,11,Monday,590,0
5,5,12,Monday,623,0
5,5,13,Monday,722,0
5,5,14,Monday,981,0
5,5,15,Monday,1210,0
5,5,16,Monday,1430,0
5,5,17,Monday,1597,0
5,5,18,Monday,1222,0
5,5,19,Monday,1067,0
5,5,20,Monday,1076,0
